kinases,PhosphoELM,acc
AAK1,PhosphoELM,"('P49757', 'Q9BXS5', 'Q96CW1')"
AFK,PhosphoELM,"('P02576',)"
AKT_group_Caeel,PhosphoELM,"('C50F4.11',)"
ALK,PhosphoELM,"('P40763', 'Q9UM73', 'Q86WB0')"
AMPK_group,PhosphoELM,"('P07248', 'P11497', 'P15304', 'P16386', 'P18688', 'P35568', 'P35569', 'P51639', 'P52292', 'P54645', 'Q09472', 'O00418', 'P35570', 'O60825', 'P41235', 'P54646', 'Q05469', 'Q13085', 'Q13131', 'P80386', 'O14401', 'P55212', 'P29473', 'Q16875', 'O00763', 'Q9JLN9', 'Q62600')"
ATM,PhosphoELM,"('O96017', 'P00519', 'P04637', 'P15336', 'P15927', 'P16220', 'P38398', 'P49959', 'P54132', 'P54274', 'Q00987', 'Q01094', 'Q12888', 'Q13541', 'Q14191', 'Q14683', 'Q15831', 'Q92878', 'Q99708', 'Q9BXW9', 'Q9Y6K9', 'O14757', 'P16104', 'O60934', 'O75943', 'P49917', 'Q99638', 'Q13315', 'O94916', 'P27661')"
ATR,PhosphoELM,"('P16220', 'P38398', 'Q00987', 'Q01094', 'O14757', 'Q8WXE1')"
Abl,PhosphoELM,"('O15162', 'O15350', 'P00519', 'P00520', 'P04083', 'P11387', 'P15941', 'P25963', 'P46109', 'P49817', 'P55211', 'Q00987', 'Q06187', 'Q06609', 'P11274', 'Q8T4F7', 'Q00535', 'Q99638', 'O43586', 'P29350', 'Q15139', 'Q64010', 'P04040', 'P43351', 'P97465', 'Q9NRQ2', 'P07203', 'Q9QXJ1', 'Q9Y6W5', 'P10085', 'Q62120', 'P46108', 'ENSRNOP00000012056')"
Abl2,PhosphoELM,"('P04040', 'O15304', 'Q9JIA3', 'P07203')"
Abl_drome,PhosphoELM,"('P55162',)"
Ack_drome,PhosphoELM,"('CG6757-PA',)"
Akt1_drome,PhosphoELM,"('CG6975-PA',)"
Atg1_drome,PhosphoELM,"('CG3981-PB',)"
Aurora A,PhosphoELM,"('P04637', 'P68431', 'P30305', 'P38398', 'O14965', 'O95983', 'P84244', 'P49450', 'Q91820', 'Q91572', 'Q9NRM7', 'Q6NUF4', 'P70166')"
Aurora B,PhosphoELM,"('O15392', 'P08670', 'P68431', 'P20152', 'P84244', 'P14136', 'P17661', 'P49450', 'Q9NQS7', 'Q02241', 'Q96GD4', 'W02A2.6', 'Q9H0H5', 'Q91636', 'Q64122', 'P84243', 'Q99661', 'P70096')"
Axl,PhosphoELM,"('P30530',)"
BCKDK,PhosphoELM,"('P11960',)"
BLK,PhosphoELM,"('P12318', 'P31994')"
BMPR1B,PhosphoELM,"('Q15796', 'Q15797')"
BMX,PhosphoELM,"('Q96T51',)"
BRSK1,PhosphoELM,"('P30305', 'P30307')"
BTK,PhosphoELM,"('P42768', 'Q06187', 'P78347', 'P24135', 'P16885', 'P51813', 'Q08881', 'P42680')"
Brk,PhosphoELM,"('P49023', 'Q13882')"
CCDPK,PhosphoELM,"('P06782', 'P26678', 'P35270')"
CDC2_drome,PhosphoELM,"('P08928', 'P20240')"
CDK1,PhosphoELM,"('O15392', 'P00533', 'P04183', 'P05787', 'P06748', 'P62136', 'P08670', 'P11388', 'P67870', 'P15172', 'P15927', 'P68400', 'P23443', 'P30304', 'P30305', 'P30307', 'P39880', 'P55211', 'Q01094', 'Q02750', 'Q07666', 'Q92993', 'O14757', 'P52732', 'P18031', 'Q99638', 'P17096', 'O95997', 'P12272', 'P22314', 'P27816', 'P31350', 'P61020', 'P36956', 'P39748', 'P47736', 'P49459', 'P52926', 'Q06481', 'Q08379', 'Q13415', 'Q14807', 'Q15149', 'Q9QY81', 'Q9Y6I3', 'O00571', 'Q8N122', 'O00562', 'P30291', 'P46060', 'Q14674', 'Q9UJX2', 'O88643', 'Q9H1A4', 'P30260', 'Q92574', 'P10361', 'Q06830', 'Q9H8V3', 'O95835', 'Q9UNZ2', 'Q14739', 'O14994', 'Q96KB5', 'O15287', 'O00443', 'Q53EZ4', 'Q8TAP9', 'P10085', 'Q9WU62', 'P08775', 'P11881', 'P49717', 'P25206', 'ENSP00000347528', 'O35303', 'O35147', 'P27699', 'P48200', 'P24898', 'P17706-2', 'Q8IXJ6', 'Q08050-2')"
CDK11,PhosphoELM,"('O00303',)"
CDK2,PhosphoELM,"('O15350', 'P04183', 'P06401', 'P38398', 'P38936', 'P46527', 'Q08999', 'P10244', 'P48972', 'P17480', 'P24864', 'P38432', 'P49459', 'Q02363', 'Q02535', 'Q99741', 'P84022', 'O75533', 'P33991', 'P50613', 'Q8WXE1', 'P54198', 'P10085', 'P23804', 'P25976', 'P49717', 'Q61502', 'Q9WUU9', 'Q08050-2', 'P33981-1')"
CDK3,PhosphoELM,"('P18846',)"
CDK4,PhosphoELM,"('P28749', 'Q08999', 'P17480', 'P53566', 'P84022')"
CDK5,PhosphoELM,"('P12931', 'P49768', 'P41236', 'Q02078', 'Q9ERR1', 'O88809', 'O88643', 'O08599', 'P24529', 'P26040', 'P31938', 'Q01815', 'Q04735', 'Q6R891', 'Q8BR65', 'Q15833', 'P19103', 'Q15078')"
CDK6,PhosphoELM,"('Q08999', 'P53566')"
CDK7,PhosphoELM,"('P03372', 'P04637', 'P06493', 'P10276', 'P14859', 'P23437', 'P30285', 'Q01094', 'P11802', 'Q14847', 'P50613', 'Q9UPZ9')"
